idCustomer,AgeCustomer,Gender,AdressCustomer,CommandeCustom,
1.0,28.0,Femme,Ghazale,Crepe,
2.0,33.0,Homme,Cité Nasr,Crepe,
3.0,54.0,Homme,Ariana,Salade,
4.0,53.0,Femme,Marsa,Burgers,
5.0,52.0,Homme,Cité tadamon,Crepe,
6.0,30.0,Femme,Gamart,sandwitch,
7.0,37.0,Femme,Manzeh,Burgers,
8.0,36.0,Femme,Lafayet,Burgers,
9.0,45.0,Femme,Manar,Crepe,
10.0,47.0,Homme,Cité tadamon,makloub,
11.0,21.0,Femme,Cité Nasr,sandwitch,
12.0,27.0,Homme,Borj louzir,Salade,
13.0,49.0,Homme,Cité Nasr,makloub,
14.0,53.0,Homme,Marsa,Burgers,
15.0,43.0,Femme,Manar,Crepe,
16.0,53.0,Femme,CentreHurbainNord,Salade,
17.0,35.0,Femme,Manar,Salade,
18.0,23.0,Femme,Lafayet,Burgers,
19.0,42.0,Femme,lac1,pizza,
20.0,45.0,Femme,Cité tadamon,makloub,
21.0,41.0,Femme,Cité Intilaka,Crepe,
22.0,24.0,Femme,Ghazale,Salade,
23.0,42.0,Femme,Borj louzir,pizza,
24.0,49.0,Femme,Ariana,Salade,
25.0,33.0,Homme,Borj louzir,Crepe,
26.0,25.0,Homme,Ariana,Salade,
27.0,25.0,Homme,Borj louzir,pizza,
28.0,55.0,Femme,Cité Intilaka,sandwitch,
29.0,21.0,Femme,Gamart,sandwitch,
30.0,50.0,Femme,Cité Intilaka,sandwitch,
31.0,34.0,Homme,Borj louzir,sandwitch,
32.0,37.0,Femme,Borj louzir,makloub,
33.0,30.0,Homme,Lafayet,Salade,
34.0,51.0,Femme,Cité Intilaka,Crepe,
35.0,51.0,Homme,Ghazale,Salade,
36.0,43.0,Homme,Ariana,makloub,
37.0,54.0,Homme,Manar,Burgers,
38.0,20.0,Femme,Ghazale,pizza,
39.0,29.0,Femme,Lafayet,Crepe,
40.0,52.0,Femme,Cité Nasr,pizza,
41.0,40.0,Femme,Ariana,Salade,
42.0,24.0,Femme,CentreHurbainNord,makloub,
43.0,21.0,Femme,Ghazale,Burgers,
44.0,32.0,Homme,Borj louzir,sandwitch,
45.0,34.0,Femme,lac1,makloub,
46.0,20.0,Femme,CentreHurbainNord,Salade,
47.0,29.0,Homme,Lafayet,Crepe,
48.0,19.0,Homme,Ariana,makloub,
49.0,36.0,Homme,Manzeh,Crepe,
50.0,29.0,Homme,Lafayet,Salade,
51.0,43.0,Femme,Lafayet,makloub,
52.0,24.0,Homme,Lafayet,pizza,
53.0,29.0,Femme,Manzeh,Salade,
54.0,44.0,Femme,Manzeh,makloub,
55.0,37.0,Femme,Cité Nasr,pizza,
56.0,28.0,Homme,Ghazale,makloub,
57.0,27.0,Homme,Ariana,Burgers,
58.0,35.0,Femme,CentreHurbainNord,Burgers,
59.0,19.0,Homme,Marsa,makloub,
60.0,30.0,Femme,Borj louzir,Crepe,
61.0,42.0,Homme,Cité tadamon,Burgers,
62.0,46.0,Femme,Gamart,pizza,
63.0,52.0,Femme,lac1,pizza,
64.0,49.0,Femme,Cité Nasr,Burgers,
65.0,34.0,Femme,lac1,Crepe,
66.0,29.0,Homme,Cité tadamon,Crepe,
67.0,46.0,Homme,Borj louzir,sandwitch,
68.0,26.0,Femme,Cité Intilaka,makloub,
69.0,20.0,Femme,Cité tadamon,Salade,
70.0,53.0,Femme,Manar,pizza,
71.0,52.0,Homme,Cité Intilaka,sandwitch,
72.0,22.0,Femme,Manar,Burgers,
73.0,38.0,Homme,Manar,sandwitch,
74.0,27.0,Femme,Cité tadamon,pizza,
75.0,19.0,Femme,Borj louzir,Crepe,
76.0,44.0,Homme,CentreHurbainNord,sandwitch,
77.0,24.0,Homme,Cité Nasr,sandwitch,
78.0,49.0,Homme,Cité Nasr,makloub,
79.0,28.0,Femme,Ghazale,Burgers,
80.0,36.0,Homme,Gamart,Burgers,
81.0,28.0,Femme,lac1,sandwitch,
82.0,25.0,Homme,Cité tadamon,makloub,
83.0,20.0,Homme,Borj louzir,Salade,
84.0,23.0,Femme,Cité Nasr,Crepe,
85.0,36.0,Homme,Manar,makloub,
86.0,38.0,Homme,CentreHurbainNord,makloub,
87.0,52.0,Homme,Borj louzir,Burgers,
88.0,55.0,Femme,Gamart,makloub,
89.0,47.0,Femme,lac1,Burgers,
90.0,41.0,Femme,Gamart,pizza,
91.0,33.0,Femme,Cité Nasr,makloub,
92.0,38.0,Femme,Borj louzir,Burgers,
93.0,20.0,Femme,Ghazale,sandwitch,
94.0,34.0,Homme,Cité Intilaka,Crepe,
95.0,35.0,Homme,Manar,Salade,
96.0,49.0,Femme,Ghazale,pizza,
97.0,50.0,Femme,Manar,Salade,
98.0,32.0,Homme,Cité Nasr,pizza,
