idCustomer,AgeCustomer,Gender,CommandeCustom,
1.0,43.0,H,makloub,
2.0,28.0,F,makloub,
3.0,50.0,H,lablebi,
4.0,48.0,H,pizza,
5.0,48.0,F,sandwichAyari,
6.0,24.0,F,kaftaji,
7.0,52.0,H,pizza,
8.0,37.0,H,lablebi,
9.0,48.0,H,kaftaji,
10.0,20.0,H,Crepe,
11.0,34.0,F,pizza,
12.0,20.0,H,Salade,
13.0,28.0,F,Burgers,
14.0,20.0,H,Salade,
15.0,20.0,F,lablebi,
16.0,42.0,H,sandwitch,
17.0,40.0,H,Crepe,
18.0,22.0,F,lablebi,
19.0,49.0,H,lablebi,
20.0,32.0,F,makloub,
21.0,53.0,F,kaftaji,
22.0,34.0,F,sandwitch,
23.0,25.0,H,lablebi,
24.0,43.0,F,kaftaji,
25.0,47.0,F,pizza,
26.0,32.0,H,pizza,
27.0,36.0,H,Crepe,
28.0,24.0,F,sandwitch,
29.0,30.0,F,Burgers,
30.0,53.0,H,Burgers,
31.0,50.0,H,Salade,
32.0,52.0,H,sandwitch,
33.0,20.0,H,sandwitch,
34.0,35.0,H,Burgers,
35.0,48.0,F,sandwitch,
36.0,52.0,H,Crepe,
37.0,30.0,F,Crepe,
38.0,53.0,H,pizza,
39.0,40.0,H,Salade,
40.0,55.0,H,lablebi,
41.0,39.0,H,kaftaji,
42.0,42.0,F,sandwichAyari,
43.0,49.0,H,Salade,
44.0,25.0,H,sandwichAyari,
45.0,31.0,H,sandwitch,
46.0,38.0,H,sandwichAyari,
47.0,23.0,F,Salade,
48.0,18.0,F,sandwitch,
49.0,21.0,F,Crepe,
50.0,29.0,H,kaftaji,
51.0,44.0,F,Burgers,
52.0,28.0,H,lablebi,
53.0,26.0,H,Crepe,
54.0,45.0,H,Burgers,
55.0,43.0,F,Salade,
56.0,37.0,H,sandwichAyari,
57.0,30.0,H,Salade,
58.0,29.0,H,pizza,
59.0,34.0,F,makloub,
60.0,47.0,H,makloub,
61.0,45.0,H,pizza,
62.0,41.0,H,Salade,
63.0,48.0,H,Burgers,
64.0,24.0,H,makloub,
65.0,36.0,F,sandwitch,
66.0,31.0,H,sandwitch,
67.0,44.0,H,kaftaji,
68.0,41.0,F,kaftaji,
69.0,47.0,H,lablebi,
70.0,31.0,F,makloub,
71.0,37.0,H,Crepe,
72.0,25.0,H,sandwitch,
73.0,28.0,H,Salade,
74.0,23.0,F,kaftaji,
75.0,52.0,H,pizza,
76.0,50.0,F,sandwichAyari,
77.0,42.0,H,sandwichAyari,
78.0,33.0,H,kaftaji,
79.0,46.0,F,makloub,
80.0,47.0,H,pizza,
81.0,18.0,F,pizza,
82.0,47.0,H,pizza,
83.0,51.0,F,Salade,
84.0,28.0,F,kaftaji,
85.0,20.0,H,kaftaji,
86.0,37.0,F,Crepe,
87.0,42.0,H,Salade,
88.0,49.0,H,kaftaji,
89.0,32.0,H,lablebi,
90.0,50.0,H,pizza,
91.0,27.0,F,lablebi,
92.0,19.0,F,sandwichAyari,
93.0,45.0,F,Salade,
94.0,54.0,F,makloub,
95.0,50.0,H,makloub,
96.0,55.0,H,Burgers,
97.0,24.0,F,kaftaji,
98.0,29.0,F,Salade,
99.0,34.0,F,pizza,
100.0,29.0,H,makloub,
101.0,51.0,F,Burgers,
102.0,34.0,F,Burgers,
103.0,49.0,H,pizza,
104.0,46.0,H,sandwichAyari,
105.0,48.0,H,sandwichAyari,
106.0,31.0,F,sandwitch,
107.0,55.0,H,pizza,
108.0,20.0,F,makloub,
109.0,52.0,H,Crepe,
110.0,42.0,H,makloub,
111.0,35.0,F,kaftaji,
112.0,53.0,H,lablebi,
113.0,52.0,F,lablebi,
114.0,29.0,F,pizza,
115.0,46.0,H,makloub,
116.0,30.0,H,sandwitch,
117.0,42.0,H,lablebi,
118.0,55.0,H,kaftaji,
119.0,38.0,F,Crepe,
120.0,22.0,H,Crepe,
121.0,43.0,F,kaftaji,
122.0,28.0,F,kaftaji,
123.0,46.0,H,kaftaji,
124.0,40.0,F,lablebi,
125.0,43.0,F,Crepe,
126.0,27.0,H,kaftaji,
127.0,34.0,F,makloub,
128.0,48.0,F,Salade,
129.0,23.0,F,lablebi,
130.0,26.0,H,lablebi,
131.0,51.0,H,kaftaji,
132.0,19.0,H,Salade,
133.0,27.0,H,lablebi,
134.0,43.0,F,lablebi,
135.0,36.0,H,sandwichAyari,
136.0,46.0,H,Crepe,
137.0,46.0,H,lablebi,
138.0,53.0,H,kaftaji,
139.0,35.0,H,Burgers,
140.0,18.0,F,kaftaji,
141.0,38.0,F,pizza,
142.0,39.0,H,sandwitch,
143.0,43.0,F,Burgers,
144.0,48.0,F,pizza,
145.0,28.0,F,Crepe,
146.0,55.0,H,Burgers,
147.0,54.0,F,Burgers,
148.0,51.0,F,makloub,
149.0,50.0,F,sandwichAyari,
150.0,29.0,F,pizza,
151.0,42.0,H,lablebi,
152.0,35.0,F,sandwichAyari,
153.0,38.0,H,kaftaji,
154.0,39.0,F,Burgers,
155.0,38.0,H,kaftaji,
156.0,48.0,F,sandwitch,
157.0,37.0,F,sandwitch,
158.0,43.0,H,pizza,
159.0,30.0,H,sandwitch,
160.0,53.0,F,pizza,
161.0,30.0,F,Crepe,
162.0,41.0,F,pizza,
163.0,20.0,H,lablebi,
164.0,39.0,H,lablebi,
165.0,48.0,H,sandwitch,
166.0,36.0,H,lablebi,
167.0,31.0,F,sandwitch,
168.0,20.0,F,Salade,
169.0,24.0,F,sandwichAyari,
170.0,29.0,F,makloub,
171.0,55.0,H,makloub,
172.0,37.0,F,sandwichAyari,
173.0,23.0,F,Salade,
174.0,32.0,F,makloub,
175.0,33.0,F,kaftaji,
176.0,38.0,H,makloub,
177.0,28.0,F,pizza,
178.0,52.0,H,sandwichAyari,
179.0,20.0,F,sandwitch,
180.0,40.0,F,Burgers,
181.0,31.0,H,kaftaji,
182.0,48.0,F,Crepe,
183.0,55.0,F,lablebi,
184.0,19.0,F,kaftaji,
185.0,41.0,F,pizza,
186.0,19.0,F,Crepe,
187.0,41.0,H,Crepe,
188.0,43.0,H,Salade,
189.0,41.0,H,Burgers,
190.0,45.0,H,makloub,
191.0,24.0,F,pizza,
192.0,47.0,H,lablebi,
193.0,52.0,F,pizza,
194.0,34.0,H,Crepe,
195.0,42.0,H,kaftaji,
196.0,41.0,F,lablebi,
197.0,41.0,H,kaftaji,
198.0,52.0,F,Salade,
199.0,41.0,F,Burgers,
200.0,39.0,F,kaftaji,
201.0,53.0,H,Crepe,
202.0,24.0,H,makloub,
203.0,47.0,H,kaftaji,
204.0,29.0,F,sandwichAyari,
205.0,19.0,F,kaftaji,
206.0,29.0,F,Burgers,
207.0,43.0,H,Burgers,
208.0,48.0,F,sandwichAyari,
209.0,47.0,H,Burgers,
210.0,36.0,F,makloub,
211.0,44.0,F,lablebi,
212.0,20.0,F,sandwichAyari,
213.0,23.0,F,Crepe,
214.0,24.0,H,makloub,
215.0,28.0,H,Burgers,
216.0,32.0,H,sandwitch,
217.0,40.0,H,sandwitch,
218.0,32.0,H,Salade,
219.0,35.0,H,Burgers,
220.0,56.0,H,pizza,
221.0,23.0,H,makloub,
222.0,50.0,F,Salade,
223.0,30.0,F,kaftaji,
224.0,55.0,F,sandwitch,
225.0,54.0,H,lablebi,
226.0,33.0,H,makloub,
227.0,41.0,H,Salade,
228.0,28.0,F,pizza,
229.0,54.0,F,sandwitch,
230.0,35.0,H,Burgers,
231.0,30.0,H,sandwitch,
232.0,53.0,F,kaftaji,
233.0,20.0,H,sandwitch,
234.0,19.0,H,Burgers,
235.0,18.0,F,Burgers,
236.0,20.0,H,Salade,
237.0,22.0,H,sandwitch,
238.0,46.0,F,sandwitch,
239.0,44.0,H,sandwitch,
240.0,43.0,F,Salade,
241.0,40.0,H,Crepe,
242.0,43.0,H,Salade,
243.0,54.0,H,kaftaji,
244.0,21.0,H,lablebi,
245.0,22.0,H,Salade,
246.0,22.0,F,pizza,
247.0,25.0,H,kaftaji,
248.0,36.0,H,makloub,
249.0,31.0,H,lablebi,
250.0,48.0,H,makloub,
251.0,55.0,F,Burgers,
252.0,50.0,H,sandwitch,
253.0,39.0,H,Burgers,
254.0,31.0,H,lablebi,
255.0,55.0,F,pizza,
256.0,22.0,F,sandwichAyari,
257.0,33.0,F,sandwitch,
258.0,41.0,F,sandwichAyari,
259.0,28.0,H,sandwitch,
260.0,49.0,F,makloub,
261.0,42.0,F,kaftaji,
262.0,32.0,F,Crepe,
263.0,33.0,F,sandwitch,
264.0,32.0,F,pizza,
265.0,41.0,H,sandwichAyari,
266.0,54.0,F,Burgers,
267.0,45.0,H,makloub,
268.0,31.0,F,makloub,
269.0,55.0,H,kaftaji,
270.0,48.0,F,kaftaji,
271.0,51.0,F,pizza,
272.0,51.0,H,kaftaji,
273.0,19.0,F,makloub,
274.0,51.0,H,sandwitch,
275.0,55.0,F,kaftaji,
276.0,52.0,F,Burgers,
277.0,20.0,H,Salade,
278.0,20.0,F,pizza,
279.0,52.0,H,sandwitch,
280.0,31.0,F,Salade,
281.0,25.0,H,Salade,
282.0,41.0,H,Burgers,
283.0,21.0,F,lablebi,
284.0,21.0,H,sandwichAyari,
285.0,27.0,F,pizza,
286.0,30.0,H,pizza,
287.0,30.0,H,sandwitch,
288.0,34.0,F,sandwitch,
289.0,23.0,H,kaftaji,
290.0,26.0,H,Crepe,
291.0,38.0,F,lablebi,
292.0,43.0,F,lablebi,
293.0,35.0,F,sandwitch,
294.0,23.0,H,kaftaji,
295.0,42.0,H,lablebi,
296.0,52.0,H,Crepe,
297.0,33.0,F,Crepe,
298.0,50.0,F,sandwichAyari,
299.0,49.0,H,kaftaji,
300.0,53.0,F,sandwichAyari,
301.0,32.0,F,sandwitch,
302.0,19.0,F,Salade,
303.0,35.0,F,makloub,
304.0,27.0,H,sandwichAyari,
305.0,43.0,F,sandwichAyari,
306.0,35.0,F,Salade,
307.0,47.0,H,Salade,
308.0,50.0,H,pizza,
309.0,50.0,F,lablebi,
310.0,29.0,H,pizza,
311.0,44.0,H,Salade,
312.0,47.0,F,Burgers,
313.0,42.0,H,sandwitch,
314.0,49.0,H,sandwitch,
315.0,27.0,H,Crepe,
316.0,36.0,F,Salade,
317.0,40.0,H,Salade,
318.0,29.0,H,Burgers,
319.0,29.0,H,kaftaji,
320.0,19.0,F,kaftaji,
321.0,35.0,H,Salade,
322.0,36.0,F,Crepe,
323.0,29.0,H,Burgers,
324.0,37.0,F,Burgers,
325.0,24.0,F,Crepe,
326.0,55.0,H,pizza,
327.0,26.0,H,makloub,
328.0,40.0,F,lablebi,
329.0,35.0,F,makloub,
