customer,platScalop,Sandwich Baguette XL,Pancake Fruit Secsn,Pizza Chees,Pizza Garden Specieal,Pizza The Hawaiian,Plat Tunisien,SAlade Maison,SAndwich Philly Steak,Sandwich Tuinisien,Sandwich Zinger,Lablebi,sandwich Scalope,Sandwic hAyari
1,1,0,0,0,1,0,0,1,1,0,0,1,0,1
2,0,0,0,1,0,1,0,0,1,0,0,1,1,1
3,0,0,0,1,0,0,1,0,0,0,1,1,0,1
4,1,1,1,0,1,1,1,0,1,1,1,0,0,0
5,1,1,1,1,1,1,0,1,0,0,1,0,1,1
6,0,0,0,1,1,1,1,1,1,1,1,1,1,0
7,0,1,1,1,0,0,1,0,0,0,1,0,0,1
8,0,1,1,1,0,0,1,0,0,1,0,1,1,1
9,0,1,1,0,0,1,1,1,0,0,1,0,0,1
10,1,1,1,0,0,1,1,0,1,0,1,0,0,0
11,0,0,0,0,1,1,0,1,0,0,0,0,1,1
12,1,0,0,1,0,1,0,0,0,1,0,0,0,1
13,0,1,1,0,1,1,1,1,1,1,0,0,1,0
14,1,1,1,0,1,0,0,1,0,0,0,1,0,0
15,1,0,0,0,1,1,1,1,1,0,0,0,0,0
16,0,1,1,1,1,0,1,1,1,0,1,0,1,0
17,0,1,1,0,1,0,1,0,0,1,0,1,1,1
18,0,1,1,0,1,0,1,1,0,0,0,0,0,1
19,1,0,0,0,0,1,0,0,1,0,0,1,0,0
20,1,0,0,1,0,1,1,0,0,0,1,1,1,1
21,1,1,1,0,0,0,0,1,0,1,0,1,0,1
22,0,1,1,0,0,1,0,0,1,0,0,0,0,1
23,1,1,1,0,0,0,0,0,1,1,0,1,0,1
24,0,0,0,0,0,0,0,1,1,1,1,1,0,0
25,1,0,0,1,0,1,0,1,0,0,1,0,0,0
26,0,0,0,0,1,0,1,0,1,0,0,0,1,0
27,0,1,1,1,0,1,0,0,0,1,0,0,0,1
28,1,0,0,1,0,0,0,1,0,1,0,1,0,0
29,1,0,0,0,1,0,1,0,0,1,0,0,1,1
30,1,0,0,0,0,1,0,1,0,1,1,1,1,1
31,0,0,0,0,0,0,1,1,1,0,1,1,0,0
32,1,0,0,0,1,0,1,0,0,0,0,0,1,1
33,0,1,1,0,1,0,0,1,0,0,0,0,0,1
34,0,0,0,1,1,1,0,1,1,1,1,1,1,1
35,1,1,1,1,0,0,0,0,1,0,0,0,1,0
36,1,1,1,0,0,1,0,1,1,0,1,0,0,0
37,0,0,0,0,1,1,0,0,1,0,0,0,1,0
38,0,1,1,1,1,0,1,0,0,1,1,0,1,1
39,1,0,0,0,0,1,1,1,0,0,1,1,0,1
40,0,0,0,1,1,1,0,1,1,1,1,1,1,0
41,0,0,0,1,1,0,0,1,0,0,1,0,0,1
42,0,1,1,0,1,1,1,0,1,0,1,0,1,0
43,0,0,0,0,1,1,1,0,0,0,0,0,0,1
44,1,1,1,1,0,1,1,0,0,0,1,1,1,0
45,1,1,1,0,1,1,0,0,1,0,0,0,0,1
46,0,1,1,0,0,0,0,1,0,0,0,1,1,1
47,1,1,1,0,1,0,0,0,0,1,1,1,1,1
48,1,0,0,1,0,1,0,0,0,1,0,0,1,0
49,1,0,0,1,0,1,1,0,0,0,0,1,0,1
50,0,0,0,1,1,0,1,1,0,1,1,1,1,1
51,1,1,1,1,1,1,1,0,1,0,0,1,1,1
52,1,0,0,0,1,1,0,1,1,1,1,1,0,0
53,0,0,0,0,0,0,1,0,0,0,1,0,0,1
54,1,1,1,0,1,1,0,1,0,1,0,0,0,0
55,0,0,0,0,0,1,0,0,0,1,1,1,0,0
56,1,1,1,1,0,1,0,0,1,0,1,1,1,1
57,0,0,0,1,1,1,1,0,1,1,0,0,0,0
58,0,0,0,1,0,0,1,1,1,1,0,0,0,1
59,0,0,0,0,1,1,0,1,1,0,0,0,1,0
60,1,1,1,0,0,1,1,1,1,0,0,0,0,1
61,0,1,1,0,0,0,1,1,1,0,0,1,1,1
62,1,1,1,1,1,1,1,0,1,0,1,0,1,0
63,0,0,0,1,1,1,0,1,0,1,1,0,1,0
64,1,0,0,1,0,1,1,0,0,0,1,0,0,1
65,0,1,1,1,0,0,0,0,1,0,0,1,0,0
66,0,1,1,1,1,0,1,1,0,1,1,1,1,1
67,1,0,0,0,1,0,1,1,1,0,1,1,0,1
68,0,1,1,1,0,1,1,1,0,0,1,1,0,1
69,1,1,1,0,1,1,1,1,1,1,0,0,1,1
70,0,1,1,0,0,0,0,1,0,1,1,0,0,0
71,1,0,0,1,1,1,0,0,1,0,1,0,0,1
72,1,0,0,0,1,1,0,0,0,0,0,0,1,0
73,1,1,1,1,0,1,0,0,0,0,1,0,1,0
74,1,0,0,1,1,1,1,0,0,1,1,0,1,1
75,1,0,0,0,1,0,0,0,1,1,1,1,0,1
76,0,1,1,1,1,0,1,0,1,1,1,0,0,1
77,1,1,1,0,1,0,1,0,1,0,0,0,1,0
78,1,1,1,1,1,1,0,1,0,0,0,1,0,0
79,0,1,1,1,0,1,0,1,1,0,0,0,0,0
80,1,0,0,1,0,1,1,1,1,1,1,0,0,0
81,1,1,1,0,0,1,0,0,0,0,0,0,0,0
