customer,platScalop,Sandwich Baguette XL,Pancake Fruit Secsn,Pizza Chees,Pizza Garden Specieal,Pizza The Hawaiian,Plat Tunisien,SAlade Maison,SAndwich Philly Steak,Sandwich Tuinisien,Sandwich Zinger,Lablebi,sandwich Scalope,Sandwic hAyari
1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
2,0,1,1,1,0,1,0,0,0,0,0,1,1,1
3,0,1,1,0,1,1,1,0,0,1,1,0,1,0
4,1,0,0,0,1,0,0,1,1,0,0,0,0,1
5,0,1,1,0,1,1,0,1,1,0,0,1,0,0
6,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,1,0,0,0,0,1,0,0,1,0,1,1,1,0
8,0,0,0,0,0,1,0,1,1,1,0,0,0,1
9,1,0,0,0,1,1,1,0,0,0,1,1,0,1
10,1,1,1,1,0,0,1,0,1,1,0,1,0,0
11,1,0,0,0,1,1,1,1,1,1,0,0,0,1
12,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13,0,1,1,0,0,1,1,1,1,0,0,1,1,1
14,1,0,0,1,0,1,0,0,0,0,1,0,1,0
15,1,1,1,1,0,1,1,1,0,1,0,0,0,1
16,1,0,0,0,1,1,1,1,1,1,0,1,1,1
17,0,0,0,1,1,1,1,0,1,0,1,1,1,1
18,1,0,0,0,1,0,1,1,0,1,1,0,1,0
19,0,1,1,1,1,1,1,1,1,1,1,1,0,0
20,1,1,1,1,1,0,1,0,0,1,0,1,1,1
21,1,1,1,1,0,1,1,1,1,1,0,0,0,0
22,0,0,0,0,0,1,1,0,1,1,1,0,0,0
23,0,0,0,1,0,0,1,0,1,0,1,0,0,1
24,0,0,0,0,1,1,0,0,1,1,0,1,0,1
25,1,0,0,0,0,1,0,0,0,0,0,1,0,1
26,1,0,0,0,1,1,0,0,1,1,1,0,0,0
27,1,0,0,1,0,0,0,1,0,0,1,0,0,1
28,1,1,1,0,1,0,0,1,0,0,0,0,0,0
29,1,1,1,1,1,0,1,1,1,1,0,0,0,0
30,1,0,0,0,0,1,1,1,1,0,1,1,1,0
31,1,0,0,0,1,0,0,0,1,0,0,0,0,0
32,0,0,0,0,0,1,1,0,0,0,0,1,0,1
33,1,1,1,0,0,1,1,0,1,0,1,1,0,0
34,0,0,0,0,0,1,1,0,0,1,1,0,1,1
35,1,1,1,0,1,1,1,0,0,0,0,0,0,0
36,0,0,0,0,0,0,1,1,0,1,0,0,0,1
37,0,1,1,1,0,1,1,0,0,1,1,1,0,0
38,1,1,1,1,0,0,0,1,1,1,0,0,1,1
39,0,0,0,0,0,0,1,1,0,0,0,0,1,0
40,0,1,1,0,0,1,0,1,0,0,0,0,0,0
41,1,1,1,1,1,0,1,0,0,1,0,1,0,1
42,0,0,0,0,1,0,1,1,0,1,1,0,1,1
43,0,1,1,1,1,1,1,1,1,0,0,0,0,1
44,1,1,1,1,1,1,1,1,0,0,0,0,0,0
45,1,1,1,0,0,0,0,0,0,1,0,0,0,0
46,0,1,1,1,0,0,1,1,0,0,0,0,1,1
47,0,0,0,1,1,1,1,0,0,1,0,1,1,0
48,0,1,1,0,1,1,1,1,1,1,0,0,1,0
49,1,1,1,0,0,0,1,1,1,1,1,1,1,0
50,1,0,0,1,0,1,1,1,0,1,1,1,1,1
51,1,1,1,1,1,1,1,0,0,1,1,1,1,0
52,0,0,0,0,0,1,1,1,0,1,0,1,1,0
53,1,1,1,1,0,1,1,0,1,1,0,1,1,1
54,1,1,1,0,0,1,1,1,0,1,0,0,1,0
55,0,1,1,1,1,1,1,1,1,1,0,0,1,0
56,1,0,0,0,0,1,1,1,0,0,1,0,1,1
57,1,0,0,1,0,0,0,0,0,1,0,1,0,0
58,1,1,1,0,0,0,1,1,1,1,1,1,0,1
59,1,1,1,1,0,1,0,1,0,1,0,1,1,1
60,1,1,1,1,0,0,0,0,1,1,0,0,1,1
61,1,0,0,1,1,1,1,1,0,1,0,1,0,0
62,0,0,0,0,0,1,1,1,1,1,0,0,1,0
63,0,0,0,0,1,1,1,0,0,1,1,0,0,0
64,0,1,1,1,1,1,1,0,1,1,1,0,0,1
65,0,1,1,0,1,1,0,1,0,0,0,0,0,1
66,1,0,0,1,1,1,0,0,0,1,0,1,1,0
67,0,0,0,0,0,1,0,0,1,1,1,0,0,0
68,0,0,0,1,1,0,0,0,0,0,1,1,0,1
69,0,1,1,1,1,0,1,1,1,1,1,1,1,0
70,0,0,0,1,1,1,1,0,1,1,1,0,0,1
71,0,1,1,1,0,0,1,0,1,0,0,1,0,0
72,0,1,1,0,0,0,0,0,1,0,1,0,0,1
73,0,1,1,1,0,0,1,0,1,0,1,1,1,1
74,1,0,0,1,1,0,0,0,1,1,0,0,0,1
75,0,0,0,1,0,1,0,0,0,1,1,0,0,1
76,0,0,0,0,0,1,1,1,0,1,0,1,1,1
77,0,1,1,0,0,0,0,0,1,0,0,0,1,0
78,0,1,1,1,0,0,0,0,1,0,0,0,0,0
79,0,1,1,1,1,1,1,1,1,0,0,0,1,1
80,1,0,0,0,0,0,0,1,1,1,1,0,0,1
81,1,0,0,1,1,1,1,0,1,1,0,0,1,1
82,0,1,1,0,1,0,1,1,0,0,0,1,0,1
83,0,1,1,1,0,0,0,1,1,0,1,0,0,1
84,1,0,0,0,0,0,0,1,0,1,0,0,1,1
85,1,0,0,1,1,1,0,1,1,0,1,0,1,0
86,1,0,0,1,1,0,0,1,1,0,1,1,0,1
87,0,0,0,1,0,1,1,0,0,0,0,0,0,0
88,0,1,1,1,1,0,0,1,1,0,0,0,1,0
89,0,1,1,0,1,1,1,1,0,1,0,1,1,1
90,1,1,1,0,1,1,0,1,0,1,1,0,1,0
91,1,1,1,0,1,1,1,1,1,1,0,1,0,0
92,0,1,1,0,0,1,1,1,1,0,1,0,1,1
93,1,1,1,1,0,0,0,1,1,0,1,0,1,1
94,1,0,0,0,0,1,1,1,1,0,0,0,0,0
95,1,1,1,0,0,0,0,0,1,1,0,0,0,0
96,1,1,1,1,0,1,1,1,0,1,1,0,0,0
97,0,1,1,1,0,1,0,0,1,1,1,0,0,1
98,0,1,1,0,1,1,1,0,1,1,1,1,0,0
99,1,0,0,1,1,0,1,0,0,1,0,0,1,0
100,0,1,1,1,0,1,1,1,0,1,0,0,0,0
101,0,0,0,1,1,1,1,0,1,1,1,0,0,0
102,0,0,0,1,1,0,0,1,1,0,1,0,0,0
103,1,0,0,1,0,0,1,0,0,0,0,0,1,0
104,1,0,0,1,1,0,1,0,1,0,0,1,0,1
105,0,0,0,1,1,1,1,1,1,1,1,0,0,1
106,1,0,0,1,1,1,0,1,0,0,1,0,0,0
107,0,0,0,0,1,0,1,1,0,0,1,1,0,0
108,0,1,1,0,1,0,1,0,1,0,0,1,1,1
109,0,1,1,1,1,1,1,1,0,0,0,0,1,0
110,0,1,1,1,1,1,0,0,0,0,1,1,0,1
111,0,1,1,1,1,1,1,1,1,0,1,0,1,0
112,0,0,0,1,0,1,0,0,1,0,0,1,1,1
113,1,0,0,1,1,0,0,0,1,1,1,0,1,0
114,0,1,1,1,1,1,0,1,0,1,1,1,1,0
115,1,0,0,0,0,0,0,0,0,1,1,1,1,0
116,0,1,1,0,1,1,0,1,0,1,1,1,1,0
117,0,0,0,0,0,1,1,1,1,0,0,0,1,0
118,0,1,1,0,0,1,1,0,1,1,1,1,1,1
119,0,1,1,0,1,0,0,0,0,0,1,0,1,1
120,0,0,0,0,1,1,0,0,1,1,0,0,0,0
121,1,1,1,0,0,1,1,0,1,1,0,0,1,1
122,1,1,1,1,0,0,0,1,0,0,0,0,1,1
123,1,0,0,0,1,1,1,1,0,1,1,1,1,0
124,1,0,0,0,1,1,1,0,1,1,0,1,0,0
125,0,1,1,0,1,0,0,1,0,0,1,1,1,0
126,1,1,1,0,1,1,1,1,0,0,0,0,0,1
127,1,1,1,0,0,0,1,1,1,0,1,0,0,0
128,1,1,1,0,1,0,0,1,0,0,1,1,1,0
129,1,1,1,0,0,0,1,0,0,1,0,1,1,0
130,1,1,1,1,1,1,0,1,0,1,1,1,0,0
131,1,1,1,1,1,1,1,1,1,1,0,1,1,1
132,1,1,1,0,1,1,1,1,1,1,0,1,0,0
133,0,1,1,0,0,0,1,0,0,0,0,1,0,0
134,1,0,0,0,0,0,1,1,0,0,0,1,0,1
135,1,0,0,1,0,0,0,0,0,1,0,1,1,1
136,1,0,0,0,1,1,1,1,1,0,0,0,1,1
137,0,1,1,0,0,1,0,1,1,1,1,0,0,1
138,1,1,1,0,0,1,1,0,0,0,0,0,0,0
139,0,0,0,0,0,1,0,1,1,1,0,1,0,0
140,1,1,1,0,1,1,1,0,1,1,1,0,1,0
141,1,0,0,1,1,0,1,0,1,1,1,1,0,0
142,0,1,1,1,1,1,0,1,0,0,0,0,0,1
143,1,1,1,0,1,1,0,0,1,1,1,0,1,1
144,0,0,0,0,0,1,0,1,1,0,0,0,1,1
145,1,0,0,0,1,1,1,0,1,1,1,0,0,1
146,1,0,0,1,1,1,1,0,0,0,1,1,0,1
147,0,0,0,0,1,0,1,0,0,1,1,0,1,1
148,1,1,1,1,0,1,1,0,1,1,1,0,0,0
149,1,1,1,0,1,1,0,0,0,0,0,1,0,1
150,0,0,0,0,0,0,1,1,0,0,0,1,1,0
151,1,0,0,1,1,1,0,1,1,0,0,0,1,1
152,0,0,0,1,0,1,0,0,1,0,1,1,0,1
153,1,0,0,0,0,1,0,0,0,0,0,0,1,0
154,0,0,0,0,1,0,1,1,1,1,0,1,1,0
155,1,0,0,0,1,1,1,1,1,1,0,1,1,1
156,1,1,1,0,0,0,0,0,1,1,0,0,0,0
157,0,0,0,0,0,0,1,0,0,0,0,0,1,1
158,0,1,1,1,1,0,1,0,1,0,1,0,0,1
159,1,0,0,1,1,1,0,1,1,1,0,1,1,1
160,1,0,0,1,1,1,0,0,0,0,0,0,0,0
161,1,0,0,1,1,0,1,1,1,1,1,1,0,1
162,0,1,1,0,0,1,1,0,0,0,0,1,0,1
